Sat Dec  8 10:44:46 2012    dbscan-9375.profile

         3325826313 function calls (3146135898 primitive calls) in 14862.432 seconds

   Ordered by: file name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/StringIO.py:30(<module>)
        4    0.000    0.000    0.000    0.000 /usr/lib/python2.7/UserDict.py:58(get)
        4    0.000    0.000    0.000    0.000 /usr/lib/python2.7/UserDict.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/__future__.py:74(_Feature)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/__future__.py:48(<module>)
        7    0.000    0.000    0.000    0.000 /usr/lib/python2.7/__future__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/collections.py:25(OrderedDict)
        2    0.001    0.000    0.001    0.001 /usr/lib/python2.7/collections.py:237(namedtuple)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/collections.py:356(Counter)
        1    0.000    0.000    0.001    0.001 /usr/lib/python2.7/collections.py:1(<module>)
       46    0.000    0.000    0.000    0.000 /usr/lib/python2.7/collections.py:277(<genexpr>)
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/collections.py:294(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/csv.py:26(Dialect)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/csv.py:57(excel)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/csv.py:123(DictWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/csv.py:73(DictReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/csv.py:67(excel_tab)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/csv.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/csv.py:162(Sniffer)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:359(_FuncPtr)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:505(string_at)
       84    0.001    0.000    0.001    0.000 /usr/lib/python2.7/ctypes/__init__.py:382(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:159(py_object)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:205(c_longdouble)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:429(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:197(c_float)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:260(c_bool)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:428(LibraryLoader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:243(c_char_p)
       14    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:147(_check_size)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:494(CFunctionType)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:172(c_ushort)
        1    0.001    0.001    0.002    0.002 /usr/lib/python2.7/ctypes/__init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:168(c_short)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:265(_reset_cache)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:388(PyDLL)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:238(c_char)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:180(c_ulong)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:294(c_wchar)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:201(c_double)
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:104(CFunctionType)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:193(c_uint)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:226(c_ubyte)
       84    0.000    0.000    0.001    0.000 /usr/lib/python2.7/ctypes/__init__.py:375(__getattr__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:291(c_wchar_p)
        9    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:78(CFUNCTYPE)
        3    0.000    0.000    0.002    0.001 /usr/lib/python2.7/ctypes/__init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/__init__.py:189(c_int)
    18750    0.093    0.000    0.093    0.000 /usr/lib/python2.7/ctypes/__init__.py:501(cast)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/_endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/_endian.py:49(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/_endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/ctypes/util.py:133(_get_soname)
        1    0.000    0.000    0.012    0.012 /usr/lib/python2.7/ctypes/util.py:91(_findLib_gcc)
        1    0.000    0.000    0.019    0.019 /usr/lib/python2.7/ctypes/util.py:223(find_library)
        1    0.000    0.000    0.002    0.002 /usr/lib/python2.7/ctypes/util.py:4(<module>)
        1    0.000    0.000    0.007    0.007 /usr/lib/python2.7/ctypes/util.py:185(_findSoname_ldconfig)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/difflib.py:46(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/difflib.py:1672(HtmlDiff)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/difflib.py:766(Differ)
        1    0.000    0.000    0.001    0.001 /usr/lib/python2.7/difflib.py:29(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/__config__.py:3(<module>)
        1    0.001    0.001    0.080    0.080 /usr/lib/python2.7/dist-packages/numpy/__init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/_import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/_import_tools.py:6(PackageLoader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/_import_tools.py:334(PackageLoaderDebug)
        1    0.001    0.001    0.044    0.044 /usr/lib/python2.7/dist-packages/numpy/add_newdocs.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/__init__.py:10(<module>)
       40    0.000    0.000    0.001    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/_inspect.py:118(getargspec)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/_inspect.py:159(<lambda>)
       40    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/_inspect.py:13(ismethod)
       40    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/_inspect.py:24(isfunction)
       31    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/_inspect.py:59(getargs)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/_inspect.py:6(<module>)
       31    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/_inspect.py:37(iscode)
       31    0.001    0.000    0.001    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/_inspect.py:157(formatargspec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/_inspect.py:160(<lambda>)
       43    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/compat/_inspect.py:161(<lambda>)
